	human	bonobo	chimp	gorilla	sorang	borang
1	248387328.0	227705052	231299448	243847345	233795519	230807400
2	242696752.0	196431891	201579334	215253457	209544987	209442601
3	201105948.0	188614375	191670129	215373162	212916775	203829688
4	193574945.0	176551333	178964043	195332687	190378904	186348328
5	182045439.0	191151712	183320697	199452338	172605363	171334878
6	172126628.0	196309857	174648847	170803427	156966991	158534780
7	160567428.0	162793952	155691389	158533252	161631396	158152001
8	146259331.0	147028407	146288486	150804130	140854135	139209255
9	150617247.0	135750398	136991367	147876701	138471021	137033130
10	134758134.0	141815175	140160335	154228409	132281717	132184685
11	135127769.0	124758961	118863153	150248535	146197178	143261986
12	133324548.0	126551469	122853238	145906006	133183124	134313182
13	113566686.0	144872268	144476839	134695396	129618170	128999004
14	101161492.0	116126430	120149342	132018348	120579848	124308952
15	99753195.0	108452746	104701121	131692671	111741659	106409199
16	96330374.0	91859929	93846347	107915467	105333845	107891546
17	84276897.0	98270466	90695042	116054869	95460129	95557242
18	80542538.0	100427192	94528409	131347499	89553113	87425153
19	61707364.0	100792412	99595324	120452965	98669288	101496854
20	66210255.0	70721293	68087067	80312928	65400147	65241172
21	45090682.0	76791327	78115444	84443219	68750668	67026804
22	51324926.0	48483276	51350302	59507314	57143103	59678711
23		65052380	59520411	54769797	57593421	62059721
X	154259566.0	160241051	153896354	177558554	162586321	160969493
Y	62460029.0	46954669	36447294	67405748	67827326	49419398
Total	3117275501.0	3244508021	3177739762	3545834224	3259084148	3220935163
